Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
TBL1X,0.003808208576935661,0.0002735177430948265,-0.5560253699788584,-0.07610579478983218,0.06910891572629367,-0.0069968790635385,22,43,large,higher_in_label0(control)
TOP3A,0.003808208576935661,0.0002735177430948265,-0.5560253699788584,-0.0625780236779141,0.0482703455311305,-0.0143076781467836,22,43,large,higher_in_label0(control)
NUP50,0.003911011727065039,0.0002886184660462361,-0.5539112050739958,-0.10570757408979051,0.0969276723173291,-0.0087799017724614,22,43,large,higher_in_label0(control)
KIF5B,0.003911011727065039,0.0002886184660462361,-0.5539112050739958,-0.0099184009161568,0.0066508275416227,-0.0032675733745341,22,43,large,higher_in_label0(control)
PIP4K2A,0.003911011727065039,0.0002886184660462361,-0.5539112050739958,-0.013437591760831525,0.009399852670472324,-0.0040377390903592,22,43,large,higher_in_label0(control)
SH3RF1,0.003911011727065039,0.0002886184660462361,-0.5539112050739958,-0.012218740730072024,0.011133457883434224,-0.0010852828466378,22,43,large,higher_in_label0(control)
TAAR2,0.003911011727065039,0.0002886184660462361,-0.5539112050739958,-0.009333354090794,0.009498093553065499,0.0001647394622715,22,43,large,higher_in_label0(control)
AP1G1,0.0040610354307470614,0.00030449752637803543,-0.5517970401691332,-0.01808034599809715,0.01750520324948485,-0.0005751427486123,22,43,large,higher_in_label0(control)
ARHGAP1,0.0040610354307470614,0.00030449752637803543,0.5517970401691332,0.13752641196542423,-0.1288188779272945,0.00870753403812975,22,43,large,higher_in_label1(disease)
FZD8,0.0040610354307470614,0.00030449752637803543,-0.5517970401691332,-0.015453176682510224,0.015027271975745524,-0.0004259047067647,22,43,large,higher_in_label0(control)
PGR,0.004217098990375755,0.00032119183312648807,-0.5496828752642706,-0.018616901761146748,0.019590366908600748,0.000973465147454,22,43,large,higher_in_label0(control)
POLA1,0.004217098990375755,0.00032119183312648807,-0.5496828752642706,-0.10546764338307657,0.10320918451353907,-0.0022584588695375,22,43,large,higher_in_label0(control)
ITCH,0.004217098990375755,0.00032119183312648807,0.5496828752642706,0.0661819977237328,-0.060774389528118505,0.0054076081956143,22,43,large,higher_in_label1(disease)
YAP1,0.004335185998820957,0.00033873986888971957,0.547568710359408,0.0313270460800396,-0.0361423147001707,-0.0048152686201311,22,43,large,higher_in_label1(disease)
FGB,0.004335185998820957,0.00033873986888971957,-0.547568710359408,-0.056695202454249125,0.05562426816596513,-0.001070934288284,22,43,large,higher_in_label0(control)
PIK3CD,0.004335185998820957,0.00033873986888971957,0.547568710359408,0.08319891994496997,-0.06042682397662088,0.0227720959683491,22,43,large,higher_in_label1(disease)
SMURF2,0.004335185998820957,0.00033873986888971957,-0.547568710359408,-0.07894950037091727,0.06448974523612368,-0.0144597551347936,22,43,large,higher_in_label0(control)
RCE1,0.004335185998820957,0.00033873986888971957,-0.547568710359408,-0.0138936451850026,0.0149223793067893,0.0010287341217867,22,43,large,higher_in_label0(control)
CANX,0.004502977854132474,0.0003571817477034835,0.5454545454545454,0.009957948031988873,-0.010393582620525473,-0.00043563458853659994,22,43,large,higher_in_label1(disease)
COL27A1,0.004502977854132474,0.0003571817477034835,-0.5454545454545454,-0.011955315036804375,0.008810169759101875,-0.0031451452777025,22,43,large,higher_in_label0(control)
NOTCH1,0.004502977854132474,0.0003571817477034835,-0.5454545454545454,-0.01618953481354005,0.01562522713593965,-0.0005643076776004,22,43,large,higher_in_label0(control)
PIK3R6,0.004565555989533969,0.0003765592745906076,0.5433403805496828,0.0467072097082105,-0.0454413723273929,0.0012658373808176,22,43,large,higher_in_label1(disease)
GALNT3,0.004565555989533969,0.0003765592745906076,-0.5433403805496828,-0.0094214655599441,0.0076347066045923,-0.0017867589553518,22,43,large,higher_in_label0(control)
LAMA4,0.004565555989533969,0.0003765592745906076,0.5433403805496828,0.010356312751280475,-0.008680120215138925,0.00167619253614155,22,43,large,higher_in_label1(disease)
POLR2B,0.004565555989533969,0.0003765592745906076,0.5433403805496828,0.101767734150729,-0.11205563910588665,-0.010287904955157651,22,43,large,higher_in_label1(disease)
PRKACA,0.004565555989533969,0.0003765592745906076,-0.5433403805496828,-0.0542337243310356,0.0423955077636442,-0.0118382165673914,22,43,large,higher_in_label0(control)
GOPC,0.004565555989533969,0.0003765592745906076,-0.5433403805496828,-0.02875677280527755,0.02769632333708125,-0.0010604494681963,22,43,large,higher_in_label0(control)
STAT3,0.004565555989533969,0.0003765592745906076,0.5433403805496828,0.12137287827288283,-0.11676011435642683,0.004612763916456,22,43,large,higher_in_label1(disease)
GAB2,0.004565555989533969,0.0003765592745906076,0.5433403805496828,0.054676714299399125,-0.05491011391428977,-0.00023339961489065,22,43,large,higher_in_label1(disease)
CHD4,0.004766754318761893,0.0003969160068108759,-0.5412262156448203,-0.08201089852634319,0.0782123033165946,-0.0037985952097485997,22,43,large,higher_in_label0(control)
PIK3C3,0.004766754318761893,0.0003969160068108759,0.5412262156448202,0.053480239632150525,-0.05063057433695092,0.0028496652951996,22,43,large,higher_in_label1(disease)
SFPQ,0.004953109349841764,0.0004182973168374654,0.5391120507399578,0.024098279728053774,-0.017822084924690274,0.0062761948033635,22,43,large,higher_in_label1(disease)
ALDH1A3,0.004953109349841764,0.0004182973168374654,-0.5391120507399577,-0.04042549167242215,0.03430399944405925,-0.0061214922283629,22,43,large,higher_in_label0(control)
YWHAB,0.004953109349841764,0.0004182973168374654,-0.5391120507399577,-0.140647234823405,0.13993954681100684,-0.00070768801239815,22,43,large,higher_in_label0(control)
TBK1,0.00507664390115515,0.0004407504570852933,0.5369978858350952,0.11664513455217315,-0.10582692514609575,0.0108182094060774,22,43,large,higher_in_label1(disease)
CPSF7,0.00507664390115515,0.0004407504570852933,0.5369978858350952,0.019805200721332825,-0.018117525630916776,0.00168767509041605,22,43,large,higher_in_label1(disease)
SRRM1,0.00507664390115515,0.0004407504570852933,-0.5369978858350951,-0.07124807150486,0.0693061413248159,-0.0019419301800441,22,43,large,higher_in_label0(control)
MUC4,0.00507664390115515,0.0004407504570852933,-0.5369978858350951,-0.01085866154544835,0.007484800534261551,-0.0033738610111868,22,43,large,higher_in_label0(control)
PRKG1,0.00507664390115515,0.0004407504570852933,-0.5369978858350951,-0.0042022721647650245,0.002710859283309925,-0.0014914128814551,22,43,large,higher_in_label0(control)
SQSTM1,0.00507664390115515,0.0004407504570852933,-0.5369978858350951,-0.0207142342998872,0.0221837260819454,0.0014694917820582002,22,43,large,higher_in_label0(control)
