Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
SKP2,0.007494507760984668,0.0003342065418276509,0.6682692307692308,0.03538610730705991,-0.03537477818690063,1.132912015928373e-05,16,26,large,higher_in_label1(disease)
BST2,0.007494507760984668,0.0003342065418276509,0.6682692307692308,0.03791352839079615,-0.032543756079931575,0.0053697723108645755,16,26,large,higher_in_label1(disease)
SNX3,0.007494507760984668,0.0003342065418276509,-0.6682692307692308,-0.04150204705095545,0.039296399439794225,-0.0022056476111612247,16,26,large,higher_in_label0(control)
USP2,0.007494507760984668,0.0003342065418276509,-0.6682692307692308,-0.024973976174752374,0.025686922527192325,0.00071294635243995,16,26,large,higher_in_label0(control)
DRD1,0.007923658222649161,0.000368978559697159,0.6634615384615385,0.010230953030683552,-0.010240555777738702,-9.602747055149994e-06,16,26,large,higher_in_label1(disease)
DUSP4,0.007923658222649161,0.000368978559697159,0.6634615384615385,0.03203847581688182,-0.026268055868315075,0.00577041994856675,16,26,large,higher_in_label1(disease)
ITPR3,0.007923658222649161,0.000368978559697159,0.6634615384615385,0.14681606445148293,-0.14589396521508774,0.0009220992363952001,16,26,large,higher_in_label1(disease)
MYCN,0.007923658222649161,0.000368978559697159,-0.6634615384615384,-0.019074319505925325,0.0117275150588062,-0.007346804447119125,16,26,large,higher_in_label0(control)
VEGFA,0.007923658222649161,0.000368978559697159,-0.6634615384615384,-0.0107015306944722,0.01121661846586775,0.00051508777139555,16,26,large,higher_in_label0(control)
CRK,0.008596813643063117,0.00040711035405192344,0.6586538461538463,0.11647594325404928,-0.09218284490844472,0.02429309834560455,16,26,large,higher_in_label1(disease)
CD3G,0.008596813643063117,0.00040711035405192344,-0.6586538461538461,-0.0331608565386427,0.024510401892463653,-0.00865045464617905,16,26,large,higher_in_label0(control)
PSMD14,0.008956762506428935,0.00044889851551557807,-0.6538461538461539,-0.04643484640835015,0.04380317174962735,-0.0026316746587228,16,26,large,higher_in_label0(control)
LTB4R,0.008956762506428935,0.00044889851551557807,-0.6538461538461539,-0.0013438557366993,0.001147123088732575,-0.000196732647966725,16,26,large,higher_in_label0(control)
PKN3,0.008956762506428935,0.00044889851551557807,-0.6538461538461539,-0.019760422742106452,0.01680787306571645,-0.00295254967639,16,26,large,higher_in_label0(control)
PRR5,0.008956762506428935,0.00044889851551557807,-0.6538461538461539,-0.07751525316098366,0.07667640847753732,-0.00083884468344635,16,26,large,higher_in_label0(control)
LGR6,0.008956762506428935,0.00044889851551557807,-0.6538461538461539,-0.004756190443604475,0.003443265294997825,-0.00131292514860665,16,26,large,higher_in_label0(control)
DYNC1I2,0.008956762506428935,0.00044889851551557807,0.6538461538461537,0.044605072995052154,-0.038533603581650554,0.0060714694134016,16,26,large,higher_in_label1(disease)
CXCR3,0.008956762506428935,0.00044889851551557807,0.6538461538461537,0.0085626854628566,-0.007056920287827175,0.001505765175029425,16,26,large,higher_in_label1(disease)
TCIRG1,0.00942463066041628,0.0004946629352152192,-0.6490384615384616,-0.016353491414236105,0.016376829395729826,2.3337981493720266e-05,16,26,large,higher_in_label0(control)
MUC2,0.00942463066041628,0.0004946629352152192,-0.6490384615384616,-0.05286979914429905,0.060834122049272896,0.007964322904973849,16,26,large,higher_in_label0(control)
PSMC2,0.00942463066041628,0.0004946629352152192,-0.6490384615384616,-0.1356278394647368,0.1217951889086943,-0.0138326505560425,16,26,large,higher_in_label0(control)
ADAP1,0.00942463066041628,0.0004946629352152192,0.6490384615384615,0.004044029785223275,-0.0040230428187331,2.0986966490174986e-05,16,26,large,higher_in_label1(disease)
DAGLB,0.00942463066041628,0.0004946629352152192,0.6490384615384615,0.02448133057768442,-0.023217875312369046,0.001263455265315375,16,26,large,higher_in_label1(disease)
IRAK1,0.00942463066041628,0.0004946629352152192,0.6490384615384615,0.08688981008562283,-0.08724057607166227,-0.00035076598603945,16,26,large,higher_in_label1(disease)
CYSLTR1,0.010149943638641523,0.0005447483562964669,-0.6442307692307692,-0.007598291608859626,0.0088206289567028,0.0012223373478431748,16,26,large,higher_in_label0(control)
ATP6V1E1,0.010149943638641523,0.0005447483562964669,0.6442307692307692,0.08270674224411254,-0.07934198995908963,0.0033647522850229,16,26,large,higher_in_label1(disease)
