Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
ZCRB1,0.005567055344250906,0.0007623394650572472,0.4289709172259508,0.0003262545333894034,-0.000296653466512025,2.9601066877378388e-05,24,149,medium,higher_in_label1(disease)
CDKN1A,0.0056078628323949845,0.0007745666895573183,0.4284116331096197,0.030134628477381274,-0.008880585537492474,0.0212540429398888,24,149,medium,higher_in_label1(disease)
NCF2,0.0056078628323949845,0.0007745666895573183,0.4284116331096197,0.047669573812457844,-0.049686165371602545,-0.0020165915591447,24,149,medium,higher_in_label1(disease)
USP13,0.0056078628323949845,0.0007745666895573183,0.4284116331096197,0.0010618444234895502,-0.001037044521291925,2.47999021976253e-05,24,149,medium,higher_in_label1(disease)
SPINT2,0.0056653312204786345,0.0007869757654334962,-0.4278523489932886,-0.007321640844435,0.00748076695934175,0.00015912611490675,24,149,medium,higher_in_label0(control)
PIK3CD,0.0056653312204786345,0.0007869757654334962,0.4278523489932886,0.04159480334144416,-0.044185803047650254,-0.0025909997062061,24,149,medium,higher_in_label1(disease)
CCNK,0.005831425628939322,0.000812349347677814,-0.4267337807606264,-0.018710045228229097,0.01704988192620945,-0.0016601633020196498,24,149,medium,higher_in_label0(control)
ELK1,0.005858145676493545,0.0008253188660253337,-0.4261744966442953,-0.012242732647169576,0.011329344429683776,-0.0009133882174858,24,149,medium,higher_in_label0(control)
MAP2K7,0.005858145676493545,0.0008253188660253337,0.4261744966442953,0.00209036430658465,-0.00136320751492705,0.0007271567916576,24,149,medium,higher_in_label1(disease)
WIPF3,0.005858145676493545,0.0008253188660253337,0.4261744966442953,0.0186478188607971,-0.0129642803992757,0.0056835384615214,24,149,medium,higher_in_label1(disease)
PARP9,0.005858145676493545,0.0008253188660253337,0.4261744966442953,0.0110472005619677,0.00268326768108715,0.01373046824305485,24,149,medium,higher_in_label1(disease)
TUBA3D,0.005885620442051131,0.0008384802602922093,0.4256152125279642,0.0153206147918949,-0.0091350930425236,0.0061855217493713,24,149,medium,higher_in_label1(disease)
APC,0.005885620442051131,0.0008384802602922093,-0.4256152125279642,-0.01151689453757615,0.01089168955584785,-0.0006252049817283,24,149,medium,higher_in_label0(control)
TAS2R1,0.005885620442051131,0.0008384802602922093,0.4256152125279642,0.0028315853764442835,1.6588264330916528e-05,0.0028481736407752,24,149,medium,higher_in_label1(disease)
SFPQ,0.005885620442051131,0.0008384802602922093,-0.4256152125279642,-0.009450036583638551,0.008393221562824151,-0.0010568150208144,24,149,medium,higher_in_label0(control)
JAG2,0.006057723221108983,0.0008653890315869975,-0.424496644295302,-0.016198316469056024,0.019906293273395773,0.00370797680433975,24,149,medium,higher_in_label0(control)
MUC2,0.0061370384950379725,0.0008791416628645557,-0.4239373601789709,-0.00229545664381705,0.00435680484706535,0.0020613482032483,24,149,medium,higher_in_label0(control)
RPS14,0.0062173268818540685,0.0008930966791613579,0.4233780760626398,0.0217225001712055,-0.0203287473304288,0.0013937528407766998,24,149,medium,higher_in_label1(disease)
RALA,0.0062813898769866604,0.0009072567857052556,0.42281879194630867,0.0159358756568126,-0.0195357122060147,-0.0035998365492021,24,149,medium,higher_in_label1(disease)
TGFBR2,0.0062813898769866604,0.0009072567857052556,0.42281879194630867,0.06469860215333514,-0.06534613034085984,-0.0006475281875247,24,149,medium,higher_in_label1(disease)
SH3RF1,0.00641172712089878,0.0009362032496971383,-0.42170022371364657,-0.00046781530862059995,0.00025440461816109996,-0.0002134106904595,24,149,medium,higher_in_label0(control)
ADRA2B,0.00641172712089878,0.0009362032496971383,0.42170022371364646,0.04270378223167802,-0.04240656615473147,0.00029721607694655004,24,149,medium,higher_in_label1(disease)
RAPGEF1,0.00641172712089878,0.0009362032496971383,0.42170022371364646,0.033151569482862374,-0.021873035427714273,0.0112785340551481,24,149,medium,higher_in_label1(disease)
ADCY10,0.00641172712089878,0.0009362032496971383,0.42170022371364646,0.003780492677743567,-0.003768098957936125,1.2393719807441999e-05,24,149,medium,higher_in_label1(disease)
RXRA,0.006495476497264664,0.0009509951777763182,-0.42114093959731547,-0.013177199150411649,0.00886638219179795,-0.0043108169586137,24,149,medium,higher_in_label0(control)
CDKN1C,0.006580248544236286,0.0009660033379857531,0.42058165548098425,0.00752431915140855,-0.00252695295262945,0.0049973661987791,24,149,medium,higher_in_label1(disease)
ELF3,0.006877493741241127,0.00101235405109824,-0.41890380313199105,-0.0028807953333650255,0.002869514713836675,-1.1280619528350447e-05,24,149,medium,higher_in_label0(control)
MSI2,0.006966847801727049,0.0010282561475319324,0.41834451901566005,0.030433084053686398,-0.0297569662106255,0.0006761178430609,24,149,medium,higher_in_label1(disease)
ANAPC5,0.007057285609956274,0.0010443891490661415,-0.41778523489932884,-0.004234607425137749,0.0035420512348368497,-0.0006925561903009,24,149,medium,higher_in_label0(control)
TBK1,0.007092232030033671,0.0010607560928898032,0.41722595078299785,0.024818194869490575,-0.016108837996157574,0.008709356873333001,24,149,medium,higher_in_label1(disease)
BRCA1,0.007092232030033671,0.0010607560928898032,0.41722595078299785,0.00883327154710835,-0.0075010736367074,0.00133219791040095,24,149,medium,higher_in_label1(disease)
RPN2,0.007092232030033671,0.0010607560928898032,-0.41722595078299773,-0.1148264941811755,0.11410010884421745,-0.00072638533695805,24,149,medium,higher_in_label0(control)
TCF7,0.007092232030033671,0.0010607560928898032,-0.41722595078299773,-0.02684622100861515,0.027303129890759552,0.0004569088821444,24,149,medium,higher_in_label0(control)
ALDH8A1,0.007184290446318851,0.0010773600511448948,-0.41666666666666663,-0.00278133459797895,0.0010808187667434499,-0.0017005158312355,24,149,medium,higher_in_label0(control)
GNB1,0.00725841169789905,0.0010942041312539217,0.41610738255033564,0.08300463582754805,-0.0785384620327554,0.00446617379479265,24,149,medium,higher_in_label1(disease)
ATP6V0E1,0.00725841169789905,0.0010942041312539217,-0.4161073825503355,-0.0008576846439039999,0.0006368548951177,-0.0002208297487863,24,149,medium,higher_in_label0(control)
RASGRP1,0.007467196923699256,0.001128625265105294,0.4149888143176734,0.01836004945719062,-0.018440587453089227,-8.053799589860819e-05,24,149,medium,higher_in_label1(disease)
TRIM28,0.007681484928279944,0.0011640450720045378,-0.4138702460850112,-0.00447993107370305,0.0052270805442303,0.0007471494705272501,24,149,medium,higher_in_label0(control)
ANO2,0.007780614951247758,0.0011821376307144383,0.4133109619686801,0.013883482791419426,-0.014301138866172475,-0.00041765607475304997,24,149,medium,higher_in_label1(disease)
CRBN,0.007860570900663926,0.0012004897152947669,0.412751677852349,0.0002740957205479714,-0.000185616676743325,8.847904380464642e-05,24,149,medium,higher_in_label1(disease)
ESRP2,0.007860570900663926,0.0012004897152947669,0.412751677852349,0.019890084000514,-0.01761777844704885,0.00227230555346515,24,149,medium,higher_in_label1(disease)
